"","Toad","Date","Easting","Northing","x","y","Day"
"1",5,2009-07-10,551788.8,4713866,-338.333414812603,-6.86469810211043,1
"2",5,2009-07-11,551758.8,4713875.8,-369.697625066514,-3.35381286547626,2
"3",5,2009-07-12,551753.8,4713874.7,-374.370547781514,-5.44517445516227,3
"4",5,2009-07-13,551750.9,4713870.1,-376.277167209315,-10.5377968015384,4
"5",5,2009-07-14,551766.1,4713872.4,-361.85971095987,-5.20235349311966,5
"6",9,2009-07-12,552059.8,4713816.1,-62.8453126525618,-0.756051091864107,1
"7",9,2009-08-01,552080.6,4713824.6,-44.2019217583177,11.7864357413565,21
"8",9,2009-08-11,552080.5,4713827.3,-44.8475269523322,14.4100199184818,31
"9",9,2009-08-12,552055.8,4713811.9,-65.9102021928352,-5.68011974488511,32
"10",9,2009-08-13,552056.2,4713813.8,-65.9039252794906,-3.73848110750663,33
"11",9,2009-08-14,552068.6,4713810.8,-53.1531752105955,-4.1608230082827,34
"12",9,2009-08-15,552082.4,4713827,-42.9261729117465,14.5016640710606,35
"13",9,2009-08-16,552072.8,4713824.8,-51.8803340786789,10.400079280157,36
"14",10,2009-07-21,552165,4713788.5,45.7661973455246,-6.44286882283059,1
"15",10,2009-07-22,552075.3,4713806.9,-45.80136451138,-6.62067654853196,2
"16",10,2009-07-23,552162.5,4713791.8,42.6487789903597,-3.71858858804343,3
"17",10,2009-07-24,552199.8,4713782.3,81.1003732494556,-5.45493502160325,4
"18",10,2009-07-25,552241.2,4713778.8,122.349655362061,-0.484349021242149,5
"19",10,2009-07-26,552160.5,4713790.4,40.9743420387779,-5.49517545437246,6
"20",10,2009-07-31,552166.5,4713784.1,48.1275356144441,-10.4471267544596,11
"21",10,2009-08-01,552144,4713793.7,24.1479744836314,-5.61073884773157,12
"22",39,2009-07-31,551572.4,4713918.8,-560.944868415599,0.941755942572271,1
"23",39,2009-08-01,551551.2,4713922.9,-582.535802838281,0.656185000478402,2
"24",39,2009-08-02,551577.5,4713921.7,-556.539147387248,4.81598131318182,3
"25",39,2009-08-03,551549.7,4713922.1,-583.842342045091,-0.431452486122922,4
"26",39,2009-08-04,551526.9,4713928.3,-607.42599006321,1.01476539394159,5
"27",39,2009-08-11,551557.4,4713914.5,-574.760790586972,-6.31153948453928,12
"28",39,2009-08-12,551561.1,4713920.5,-572.354786996228,0.314254560024921,13
"29",39,2009-08-13,551536,4713922.1,-597.257528047885,-3.21044232222805,14
"30",39,2009-08-14,551697.6,4713904.6,-435.467281318651,12.4332804855357,15
"31",39,2009-08-16,551686.5,4713915.3,-448.506971528735,20.6592442119642,17
"32",40,2009-06-22,551574.1,4713914.7,-558.448541807479,-2.72816959650639,1
"33",40,2009-06-23,551641.4,4713905,-490.580058639411,1.42502104149368,2
"34",40,2009-06-24,551547.5,4713925.1,-586.605143411074,2.05991834374531,3
"35",40,2009-06-25,551549.5,4713927.6,-585.153837030389,4.91363693347722,4
"36",40,2009-06-30,551552.1,4713929.8,-583.054150463447,7.59529991030773,9
"37",40,2009-07-01,551566.3,4713915.4,-566.22837711456,-3.6249207291351,10
"38",40,2009-07-22,551551.5,4713922.7,-582.201470446368,0.521196660908856,31
"39",40,2009-07-23,551528.7,4713931.4,-606.292233398198,4.41544118380361,32
"40",40,2009-07-24,551551.1,4713921.4,-582.329454943814,-0.832915582573094,33
"41",40,2009-07-25,551550.5,4713920.3,-582.69385076718,-2.03175489003466,34
"42",40,2009-07-26,551545.6,4713918,-587.025437248324,-5.27788467113373,35
"43",41,2009-06-27,551828.8,4713855,-296.933682819112,-9.52217639310666,1
"44",41,2009-06-28,552590.4,4713706.3,478.996349910286,-0.643307739084477,2
"45",41,2009-06-29,552577.4,4713676.5,472.311421375891,-32.4607829764274,3
"46",43,2009-06-26,551562.5,4713916.3,-570.131938987725,-3.5144458373326,1
"47",43,2009-06-28,551176.2,4714017.1,-968.847889964165,16.8305888628502,3
"48",43,2009-06-29,551418.7,4713951.1,-718.001471360365,1.39283405047036,4
"49",43,2009-06-30,551417.9,4713952.7,-719.109393443626,2.79729432370698,5
"50",43,2009-07-01,551544.7,4713916.8,-587.66331167161,-6.63549883598581,6
"51",43,2009-07-09,551718.3,4713862.1,-406.576666844594,-24.9842607927781,14
"52",43,2009-07-25,551716.5,4713889.7,-413.937794894525,1.67683059267604,30
"53",43,2009-08-01,551686.2,4713896.2,-444.926376633313,1.89546686888436,37
"54",43,2009-08-02,551685.3,4713896,-445.767097029924,1.51706336119743,38
"55",43,2009-08-03,551684,4713893.4,-446.512671353387,-1.29258411248597,39
"56",43,2009-08-04,551686.1,4713897.3,-445.247428269712,2.9523139940361,40
"57",43,2009-08-12,551685.2,4713895,-445.66217212229,0.517568106693091,48
"58",43,2009-08-13,551715.9,4713888.5,-414.281906120623,0.380070219865118,49
"59",43,2009-08-14,551711.9,4713900.4,-420.612615833189,11.2212931464582,50
"60",43,2009-08-15,551665.6,4713896.1,-465.077831572949,-2.38108125021604,51
"61",43,2009-08-16,551651.8,4713897.2,-478.81406921233,-4.10322396025748,52
"62",44,2009-06-27,551296.4,4713976.5,-842.911222454134,1.45672219065253,1
"63",44,2009-06-28,551269,4713998.5,-874.204205875494,17.4413769755326,2
"64",44,2009-06-29,551302.7,4713980.2,-837.492725415973,6.35773125491028,3
"65",44,2009-07-12,551551.5,4713923.4,-582.343462627813,1.20664412109033,16
"66",44,2009-07-13,551551.8,4713921.5,-581.664292081015,-0.59300233580224,17
"67",44,2009-07-14,551442.3,4713947.1,-694.080715957977,2.26315639508394,18
"68",45,2009-06-24,551652.9,4713904.1,-479.136574706113,2.87646014425022,1
"69",45,2009-06-30,551564.8,4713918.2,-568.265161825864,-1.18739984947969,7
"70",45,2009-07-01,551610,4713911.5,-522.645772101032,1.42052674692378,8
"71",45,2009-07-10,551579,4713914.7,-553.650409587463,-1.73422432665048,17
"72",45,2009-07-11,551574.4,4713920,-559.22986226948,2.52250067820255,18
"73",45,2009-07-12,551590.8,4713912.1,-541.568324302092,-1.8865895491758,19
"74",45,2009-07-13,551573.2,4713917.3,-559.857230929795,-0.364783264402988,20
